Name,Url,Authority,Started On,Finished On,License Number
DATA SCIENTIST WITH R TRACK,https://www.datacamp.com/statement-of-accomplishment/track/70f3457f822e8c11e96d287f956debfebca7c3ab,,Mar-18,,
Introduction to R,https://www.datacamp.com/statement-of-accomplishment/course/b8273a675e81e623291059ea25361492e7de3d4c,,Apr-18,,
Intermediate R,https://www.datacamp.com/statement-of-accomplishment/course/e24fa3290bf5ce995125663f665b01e41fd3d07b,,Apr-18,,
Introduction to tidyverse,https://www.datacamp.com/statement-of-accomplishment/course/b1937159f5a635296e42027427da90b4658a0a74,,Apr-18,,
Importing data PART-1,,,Apr-18,,https://www.datacamp.com/statement-of-accomplishment/course/18b29b8bedfce2fbbd9f
Importing Data part-2,https://www.datacamp.com/statement-of-accomplishment/course/b17a9189b0f4664726f66d8b2b46d4d50d41dc27,,Apr-18,,
Cleaning data in R,https://www.datacamp.com/statement-of-accomplishment/course/9633d8dce7101462d9fcc2bfd00266e3afeee573,,Apr-18,,
Writing Functions in R,https://www.datacamp.com/statement-of-accomplishment/course/cd7c1b0dd56f316e94d2d0ab3ebca5ef73ca2cb9,,Apr-18,,
Data Manipulation With dplyr,https://www.datacamp.com/statement-of-accomplishment/course/2959b9b33875e5e78226c829c3c78ac668b0f7cd,,Apr-18,,
Intro to SQL for Data Science,https://www.datacamp.com/statement-of-accomplishment/course/4f3555a610b4f527f1ed372a26e1f9ccd8ce8a7c,,Apr-18,,
Data Visualisation with ggplot2 - 1,https://www.datacamp.com/statement-of-accomplishment/course/222a99080c290428f953ea1d626503a89b13e824,,Apr-18,,
Data visualisation with ggplot2 - 2,https://www.datacamp.com/statement-of-accomplishment/course/df0b9c9dd36d2ef81d9429049dd14076a761bc1b,,Apr-18,,
Exploratory Data Analysis,https://www.datacamp.com/statement-of-accomplishment/course/e922a0fbc43ccd5868bf36ba66a4a6b491ea271a,,,,
Correlation and Regression,https://www.datacamp.com/statement-of-accomplishment/course/e922a0fbc43ccd5868bf36ba66a4a6b491ea271a,,,,
Cluster Analysis in R,https://www.datacamp.com/statement-of-accomplishment/course/e7ce80013c9d70cd152b109957cf23e7f0d0e2b5,,,,
Supervised learning in R,https://www.datacamp.com/statement-of-accomplishment/course/235c3cbed5c2613685a8e87bef4f6863579a6abd,,,,
Unsupervised learning in R,https://www.datacamp.com/statement-of-accomplishment/course/235c3cbed5c2613685a8e87bef4f6863579a6abd,,,,
Data Scientist's Tool box,https://www.coursera.org/account/accomplishments/verify/KB853GQXYC76,Coursera,Aug-18,,KB853GQXYC76
Introduction to R ,https://www.datacamp.com/statement-of-accomplishment/course/b8273a675e81e623291059ea25361492e7de3d4c,DataCamp,,,